,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,_merge
713,,,,,,,,Norton 6,,,,,,,,,,,,,,,,Permian - Midland,"CML EXPLORATION, LLC",TX,ANDREWS,01/03/2022,V,TOM PEAY 1,OIL,NOLLEY,"CANYON, DEVONIAN, ELLEN., PENN","14,500 ft",2021-12-28,42-003-48487,32.5151681 / -102.52337,650,2021-12-01,42.0,3.0,right_only
714,,,,,,,,Murfin 104,,,,,,,,,,,,,,,,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,01/03/2022,V,STACY #2,OIL,MOFFETT WEST,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-12-22,15-007-24398,37.453512 / -98.9702662,550,2021-12-01,15.0,7.0,right_only
715,,,,,,,,Pioneer 71,,,,,,,,,,,,,,,,Northeast,LAUREL MOUNTAIN PRODUCTION,PA,CLARION,01/03/2022,H,WINDY OAKLAND 5H,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"14,233 ft",2021-12-27,37-031-25698,41.1248829 / -79.6477656,1500,2021-11-15,37.0,31.0,right_only
716,,,,,,,,Fossil 3,,,,,,,,,,,,,,,,Anadarko,"PALOMINO PETROLEUM, INC.",KS,CLARK,01/03/2022,V,STONEWALL 1,OIL,UNNAMED,VIOLA,"6,400 ft",2021-12-20,15-025-21618,37.3008206 / -99.5503027,750,2021-12-07,15.0,25.0,right_only
717,,,,,,,,Norton 4,,,,,,,,,,,,,,,,Permian - Midland,"SILVER CREEK PERMIAN OP CO, LLC",TX,COCHRAN,01/03/2022,H,MORGAN 1H,OIL,COCHRAN,SAN ANDRES,"6,500 ft",2021-12-28,42-079-33425,33.0407702 / -102.8880357,650,2021-12-03,42.0,79.0,right_only
718,,,,,,,,H&P 522,,,,,,,,,,,,,,,,Uintah,"OVINTIV PRODUCTION, INC.",UT,DUCHESNE,01/03/2022,H,MOON 1-12 4-3-7-8-7H,OIL,NORTH MYTON BENCH,UTELAND BUTTE,"18,402 ft",2021-12-30,43-013-54177,40.1575398 / -110.278852,1500,2021-10-08,43.0,13.0,right_only
719,,,,,,,,Nabors B18,,,,,,,,,,,,,,,,Bakken,"WPX ENERGY WILLISTON, LLC",ND,DUNN,01/03/2022,H,HALL 14-15HIL,UNKNOWN,MCGREGORY BUTTES, , ,2022-01-01,33-025-04313,47.6447688 / -102.6137352,1500,2021-08-12,33.0,25.0,right_only
720,,,,,,,,Price 3,,,,,,,,,,,,,,,,Gulf Coast,"NYE EXPLORATION & PROD, L.L.C.",TX,DUVAL,01/03/2022,V,BARTON-SCHUBERT 1,OIL & GAS,"A S O G,FIVE GATES,GUAJILLO, W.,STARR BRITE",FRIO,"5,500 ft",2021-12-30,42-131-39659,27.6360377 / -98.3246377,400,2021-11-30,42.0,131.0,right_only
721,,,,,,,,LASSO 102,,,,,,,,,,,,,,,,Barnett,"MORIAH OPERATING,LLC",TX,FISHER,01/03/2022,H,JENNA UNIT 2H,OIL & GAS,"GARDEN CITY, S.",WOLFCAMP,"7,000 ft",2021-12-20,42-151-33211,32.7621023 / -100.6204764, ,2021-10-25,42.0,151.0,right_only
722,,,,,,,,VALARIS DS-18,,,,,,,,,,,,,,,,Offshore,CHEVRON U.S.A. INC.,GOM,GREEN CANYON,01/03/2022,U,G36654 001,UNKNOWN, , , ,2021-10-04,60-811-40752,27.1549289 / -90.4652957, ,2021-09-14,60.0,811.0,right_only
723,,,,,,,,Norton 3,,,,,,,,,,,,,,,,Permian - Midland,"ROGERS, S. K. OIL, INC.",TX,HOCKLEY,01/03/2022,V,"MCCORKLE, EULA ESTATE 5W",INJECTION,HAMILTON,CLEARFORK,"7,000 ft",2021-12-27,42-219-37497,33.5921488 / -102.32333,900,2021-09-10,42.0,219.0,right_only
724,,,,,,,,Patterson 584,,,,,,,,,,,,,,,,Northeast,ASCENT RESOURCES UTICA LLC,OH,JEFFERSON,01/03/2022,H,KELPIE SE WEL JF 4H,OIL & GAS, ,"UTICA SHALE, POINT PLEASANT FORMATION","28,446 ft",2021-12-23,34-081-20907,40.249979 / -80.703776,1500,2021-07-28,34.0,81.0,right_only
