,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,_merge
706,,,,,,,,Patterson 345,,,,,,,,,,,,,,,,,DJ Basin,CRESTONE PEAK RESOURCES OPERATING LLC,CO,ADAMS,01/12/2022,H,CROW 3-64 29-30-25 3BH,OIL,WILDCAT,NIOBRARA,"23,499 ft",2022-01-09,05-001-10405,39.757844 / -104.565832,1500,2021-11-15,5.0,1.0,right_only
707,,,,,,,,Southwind 1,,,,,,,,,,,,,,,,,Sedgwick,RJM COMPANY,KS,BARTON,01/12/2022,V,AMES UNIT 16,OIL,AMES,ARBUCKLE,"3,400 ft",2022-01-11,15-009-26331,38.4504126 / -98.5144349,400,2022-01-04,15.0,9.0,right_only
708,,,,,,,,Guichard 5,,,,,,,,,,,,,,,,,Gulf Coast,"LAFAYETTE OILFIELD CONTRACTORS, INC.",LA,BEAUREGARD,01/12/2022,D,HUNT 001,OIL,COWARDS GULLY,FRIO,"4,900 ft",2022-01-06,17-011-21285,30.4910252 / -93.5298533,750,2021-12-02,17.0,11.0,right_only
709,,,,,,,,Price 4,,,,,,,,,,,,,,,,,Gulf Coast,"KEBO OIL & GAS, INC.",TX,CALHOUN,01/12/2022,V,DOUBLE DOWN 1,OIL & GAS,"LONG MOTT, EAST", ,"7,500 ft",2022-01-04,42-057-31824,28.5348281 / -96.701214,600,2021-12-10,42.0,57.0,right_only
710,,,,,,,,Patterson 290,,,,,,,,,,,,,,,,,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,01/12/2022,H,SEEMS 11_2-13N-9W 2HX,OIL & GAS, ,"MISSISSIPPIAN, MISSISSIPPIAN (LESS CHESTER)","21,440 ft",2022-01-06,35-017-25736,35.6105187 / -98.1221139,1500,2021-12-08,35.0,17.0,right_only
711,,,,,,,,HWH 2,,,,,,,,,,,,,,,,,Anadarko,KODIAK OIL & GAS INC,OK,CARTER,01/12/2022,V,HHU 631,OIL & GAS, ,HOXBAR,"2,400 ft",2022-01-03,35-019-26464,34.1858425 / -97.3986296, ,2021-11-15,35.0,19.0,right_only
712,,,,,,,,DALLAS-MORRIS 27,,,,,,,,,,,,,,,,,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,01/12/2022,V,DH15 DH15,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,950 ft",2022-01-03,31-009-30149,42.0483087 / -78.5333608, ,2021-10-25,31.0,9.0,right_only
713,,,,,,,,C&G 2,,,,,,,,,,,,,,,,,Sedgwick,"RANEY OIL COMPANY, LLC",KS,COWLEY,01/12/2022,V,MBF 1,OIL,COMBS,MISSISSIPPI,"3,400 ft",2022-01-04,15-035-24749,37.4666728 / -96.9026168,450,2021-10-28,15.0,35.0,right_only
714,,,,,,,,United 52,,,,,,,,,,,,,,,,,Permian - Delaware,CPB WATER LLC,TX,CULBERSON,01/12/2022,D,CLAWDIA 2,INJECTION,FORD,DELAWARE,"6,300 ft",2021-12-21,42-109-33815,31.9975166 / -104.0784917,700,2021-12-20,42.0,109.0,right_only
715,,,,,,,,Basin 101,,,,,,,,,,,,,,,,,Haynesville,GOODRICH PETROLEUM COMPA,LA,DE SOTO,01/12/2022,H,HA RA SU93;LATTIN 3&34 HC 002-ALT,GAS,CASPIANA,HAYNESVILLE,"23,000 ft",2022-01-05,17-031-27077,32.3105495 / -93.6790466,1000,2021-12-16,17.0,31.0,right_only
