,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Unnamed: 0,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,_merge
678,,,,,,,,AKITA 90,,,,,,,,,,,,,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/14/2021,H,TITAN GAS UNIT 1H,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,200 ft",2021-12-06,42-005-30464,31.8237929 / -102.3953892,3000,2021-10-18,42.0,5.0,right_only
679,,,,,,,,Energy 15,,,,,,,,,,,,,Haynesville,"R360 ENVIRONMENTAL SOLUTIONS OF LA, LLC",LA,BOSSIER,12/14/2021,V,US LIQUIDS BOSSIER SWD 006,UNKNOWN,ELM GROVE, , ,2021-11-28,17-015-88164,32.349002 / -93.495841,1000,2021-06-07,17.0,15.0,right_only
680,,,,,,,,Ensign 769,,,,,,,,,,,,,DJ Basin,EXTRACTION OIL & GAS INC,CO,BROOMFIELD,12/14/2021,H,UNITED B S16-20-13C,OIL,WATTENBERG,CODELL,"18,191 ft",2021-12-07,05-014-20808,39.985285 / -105.000541,1500,2018-10-02,5.0,14.0,right_only
681,,,,,,,,Patterson 577,,,,,,,,,,,,,Northeast,"PENNENERGY RESOURCES, LLC",PA,BUTLER,12/14/2021,H,RAPE UNIT 5H,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"13,503 ft",2021-12-10,37-019-22885,40.7771497 / -80.0380588,1200,2021-09-07,37.0,19.0,right_only
682,,,,,,,,H&P 430,,,,,,,,,,,,,Haynesville,BPX OPERATING COMPANY,LA,CADDO,12/14/2021,H,HA RA SUSS;CR WOODS 3-34-27 HC 001-ALT,GAS,GREENWOOD-WASKOM,HA, ,2021-12-03,17-017-36517,32.487367 / -94.00292,1500,2021-11-29,17.0,17.0,right_only
683,,,,,,,,Nabors B14,,,,,,,,,,,,,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,12/14/2021,H,HA RA SUM;AT&N 12&1-15-16 HC 001-ALT,GAS,JOHNSON BRANCH,HAYNESVILLE,"23,276 ft",2021-12-13,17-017-36504,32.434561 / -94.849484,1500,2021-10-28,17.0,17.0,right_only
684,,,,,,,,Pioneer 71,,,,,,,,,,,,,Northeast,"EOG RESOURCES, INC",OH,CARROLL,12/14/2021,,ROSE 0801 1H,UNKNOWN, , , ,2021-11-26,34-019-22788,40.5909309 / -81.2328873,1500, ,34.0,19.0,right_only
685,,,,,,,,HWH 2,,,,,,,,,,,,,Anadarko,KODIAK OIL & GAS INC,OK,CARTER,12/14/2021,V,HHU 627,OIL & GAS, ,HOXBAR,"2,400 ft",2021-12-06,35-019-26462,34.1841488 / -97.3976987, ,2021-11-12,35.0,19.0,right_only
686,,,,,,,,Savanna 417,,,,,,,,,,,,,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,12/14/2021,V,WADDELL TR A 3118,OIL & GAS,SAND HILLS,"CLEAR FORK, SAN ANGELO, UPPER, TUBB, WOLFCAMP","9,000 ft",2021-12-09,42-103-36875,31.5037056 / -102.6564393,650,2021-09-21,42.0,103.0,right_only
687,,,,,,,,Precision 594,,,,,,,,,,,,,Permian - Midland,SEM OPERATING COMPANY LLC,TX,CROCKETT,12/14/2021,H,UNIVERSITY 40 2113WB,OIL & GAS,LIN,WOLFCAMP,"10,000 ft",2021-12-10,42-105-42507,31.0760602 / -101.1497017,1800,2021-11-09,42.0,105.0,right_only
