,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,_merge
720,,,,,,,,D&D 11,,,,,,,,,,,,,,,Gulf Coast,DUNN EXPLORATION COMPANY,LA,BEAUREGARD,12/27/2021,V,CF-WX RA SUB;BP AMERICA 003,OIL,BRUSHY CREEK,CF-WX,"9,999 ft",2021-12-22,17-011-21284,30.5981607 / -93.631558,1000,2021-11-30,17.0,11.0,right_only
721,,,,,,,,Power Rig 6,,,,,,,,,,,,,,,Anadarko,CHAPARRAL ENERGY LLC,OK,CANADIAN,12/27/2021,H,MARBLE 1307 1SMH-34,OIL & GAS, ,MISSISSIPPIAN,"14,500 ft",2021-12-20,35-017-25706,35.5506726 / -97.9330279,1200,2021-09-24,35.0,17.0,right_only
722,,,,,,,,DALLAS-MORRIS 27,,,,,,,,,,,,,,,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,12/27/2021,V,DH11 DH11,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,965 ft",2021-12-20,31-009-30147,42.04721 / -78.5332997, ,2021-10-25,31.0,9.0,right_only
723,,,,,,,,Sendero 19,,,,,,,,,,,,,,,Permian - Delaware,APR OPERATING LLC,TX,CULBERSON,12/27/2021,V,BIGHORN SWD 1,INJECTION,"MARSH, S.",DELAWARE,"6,250 ft",2021-12-17,42-109-33500,31.6642939 / -104.0745613,525,2021-11-03,42.0,109.0,right_only
724,,,,,,,,Patterson 297,,,,,,,,,,,,,,,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,12/27/2021,H,ACE STERN VEGAS FEE 22 21 124H,OIL,SOUTH CULEBRA BLUFF,BONE SPRING,"18,259 ft",2021-12-18,30-015-49109,32.3741929 / -104.1000544,1500,2021-11-22,30.0,15.0,right_only
725,,,,,,,,Patterson 295,,,,,,,,,,,,,,,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,EDDY,12/27/2021,H,BUBBA BURTON 14 15 24S 28E 121H,OIL,MALAGA,BONE SPRING,"18,800 ft",2021-12-21,30-015-48082,32.2236326 / -104.0504333,1500,2021-03-05,30.0,15.0,right_only
726,,,,,,,,Citadel 2,,,,,,,,,,,,,,,Permian - Delaware,OXY USA INCORPORATED,NM,EDDY,12/27/2021,H,PURE GOLD MDP1 29 17 FEDERAL COM 008H,OIL,INGLE WELLS,BONE SPRING,"22,944 ft",2021-12-21,30-015-45754,32.2693311 / -103.8002301, ,2019-02-22,30.0,15.0,right_only
727,,,,,,,,Patterson 596,,,,,,,,,,,,,,,Anadarko,CONTINENTAL RESOURCES INC,OK,GRADY,12/27/2021,H,SILVER STRATTON 2-6-31-30XHW,OIL & GAS, ,"HUNTON, SYCAMORE, WOODFORD", ,2021-12-21,35-051-24880,34.8426278 / -97.7717837,1500,2021-11-04,35.0,51.0,right_only
728,,,,,,,,Norton 1,,,,,,,,,,,,,,,Permian - Midland,"ROGERS, S. K. OIL, INC.",TX,HOCKLEY,12/27/2021,V,"MCCORKLE, EULA ESTATE 5W",INJECTION,HAMILTON,CLEARFORK,"7,000 ft",2021-12-23,42-219-37497,33.5313329 / -102.339401,900,2021-09-10,42.0,219.0,right_only
729,,,,,,,,Latshaw 18,,,,,,,,,,,,,,,Permian - Midland,"SURGE OPERATING, LLC",TX,HOWARD,12/27/2021,H,ELECTRIC UNIT B 23-22 6AH,OIL & GAS,SPRABERRY,TREND AREA,"8,500 ft",2021-12-21,42-227-41436,32.4826885 / -101.3142658,1700,2021-12-07,42.0,227.0,right_only
730,,,,,,,,Sewell 2,,,,,,,,,,,,,,,Haynesville,WEISER-BROWN OPERATING COMPANY,AR,LAFAYETTE,12/27/2021,D,"QB, LLC 1",OIL,WILDCAT,TOKIO, ,2021-12-14,03-073-11548,33.4417344 / -93.4297015,900,2021-12-14,3.0,73.0,right_only
731,,,,,,,,Patterson 588,,,,,,,,,,,,,,,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,12/27/2021,H,CABRA NINO 14 B3NC STATE COM 001H,OIL,OJO CHISO,BONE SPRING,"16,211 ft",2021-12-18,30-025-49266,32.3851608 / -103.4450517,1500,2021-07-30,30.0,25.0,right_only
732,,,,,,,,Stoneham 5,,,,,,,,,,,,,,,Permian - Delaware,"MILESTONE ENVIRONMENTAL SERVICES, LLC",NM,LEA,12/27/2021,V,BEAZA SWD 1,DISPOSAL,SWD,BELL CANYON-CHERRY CANYON,"7,240 ft",2021-12-16,30-025-49600,32.18893 / -103.4156697,850,2021-11-29,30.0,25.0,right_only
733,,,,,,,,H&P 616,,,,,,,,,,,,,,,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,12/27/2021,H,LONESOME DOVE FED COM 434H,OIL,SOUTHWEST JABALINA,WOLFCAMP,"21,565 ft",2021-12-07,30-025-49526,29.7295664 / -95.2624055,1500,2021-11-04,30.0,25.0,right_only
734,,,,,,,,Patterson 564,,,,,,,,,,,,,,,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/27/2021,H,CBR 40-45H-56-1 403H,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-12-20,42-301-35693,31.914233 / -103.8596508,1500,2021-10-29,42.0,301.0,right_only
735,,,,,,,,Precision 110,,,,,,,,,,,,,,,Northeast,"HG ENERGY II APPALACHIA, LLC",WV,MARSHALL,12/27/2021,H,MND 1 MHS  ,GAS,MARCELLUS,MARCELLUS SHALE, ,2021-12-18,47-051-01839,39.849815 / -80.774376,1500,2021-09-13,47.0,51.0,right_only
