,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,_merge
704,,,,,,,,LASSO 103,,,,,,,,,,,,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,12/27/2021,H,UNIVERSITY 5-39 WEST MS 7H,OIL & GAS,SPRABERRY,TREND AREA,"9,300 ft",2021-12-11,42-003-48385,32.4252467 / -102.3373782,1500,2021-04-26,42.0,3.0,12.0,,,,right_only
705,,,,,,,,Southwind 1,,,,,,,,,,,,Sedgwick,"CHARTER ENERGY, INC.",KS,BARTON,12/27/2021,V,COTTER 1,OIL,PRITCHARD,"ARBUCKLE, LKC","3,650 ft",2021-12-15,15-009-26329,38.2745186 / -98.8624899,400,2021-12-03,15.0,9.0,25.0,,,,right_only
706,,,,,,,,CWC Ironhand 108,,,,,,,,,,,,Bakken,SCOUT ENERGY MANAGEMENT LLC,ND,BILLINGS,12/27/2021,D,FRYBURG HEATH-MADISON UNIT E-805,OIL & GAS,FRYBURG,HEATH/MADISON,"9,142 ft",2021-12-18,33-007-00091,46.850027 / -103.4191776,800,2021-08-13,33.0,7.0,32.0,,,,right_only
707,,,,,,,,C&G 2,,,,,,,,,,,,Sedgwick,JORDAN OIL MANAGEMENT INC.,KS,BUTLER,12/27/2021,V,MCCULLOCH 12A,OIL,WHITEWATER,VIOLA,"2,650 ft",2021-12-14,15-015-24158,37.8342225 / -97.0168615,450,2021-12-02,15.0,15.0,47.0,,,,right_only
708,,,,,,,,Pinnergy 6,,,,,,,,,,,,Haynesville,AETHON ENERGY OPERATING L,LA,CADDO,12/27/2021,H,HA RA SUJJ;J CAPLIS 5-15-12 H 004-ALT,GAS,ELM GROVE,HAYNESVILLE,"16,420 ft",2021-12-20,17-017-36500,32.3250161 / -93.6256043,750,2021-10-25,17.0,17.0,49.0,,,,right_only
709,,,,,,,,Patterson 328,,,,,,,,,,,,Northeast,SENECA RESOURCES CORP,PA,CAMERON,12/27/2021,H,SRC WT 5036 325HU 53235,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"23,549 ft",2021-12-11,37-023-20284,41.5743125 / -78.3207881,1500,2021-10-27,37.0,23.0,60.0,,,,right_only
710,,,,,,,,DALLAS-MORRIS 27,,,,,,,,,,,,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,12/27/2021,V,DH11 DH11,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,965 ft",2021-12-20,31-009-30147,42.04721 / -78.5332997, ,2021-10-25,31.0,9.0,73.0,,,,right_only
711,,,,,,,,B&H 4,,,,,,,,,,,,Michigan,WEST BAY EXPLORATION CO,MI,CLARE,12/27/2021,V,STATE REDDING 1-20,OIL,DUNDEE,DUNDEE,"4,000 ft",2021-12-09,21-035-62017,44.0221467 / -85.0565224,475,2021-09-14,21.0,35.0,77.0,,,,right_only
712,,,,,,,,Patterson 593,,,,,,,,,,,,Powder River,CHESAPEAKE OPERATING LLC,WY,CONVERSE,12/27/2021,H,CLAUSEN 25-34-70 A NB 2H,OIL,WC,NIOBRARA,"20,672 ft",2021-12-20,49-009-48741,42.8959711 / -105.2075497,1500,2021-10-20,49.0,9.0,87.0,,,,right_only
713,,,,,,,,Patterson 263,,,,,,,,,,,,Permian - Delaware,MEWBOURNE OIL CO,NM,EDDY,12/27/2021,H,SAN LORENZO 9 W1OB FEE 001H,GAS,PURPLE SAGE,WOLFCAMP (GAS),"14,295 ft",2021-12-11,30-015-48896,32.1381916 / -104.0923332,1500,2021-09-01,30.0,15.0,166.0,,,,right_only
