,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,_merge
707,,,,,,,,NorAm 21,,,,,,,,,,,,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/03/2022,H,MABEE DDA F21 4104LH,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-14,42-003-48367,32.2271207 / -102.2687723,1500,2021-04-26,42.0,3.0,5.0,,,,,right_only
708,,,,,,,,Cactus 154,,,,,,,,,,,,Arkoma,CANYON CREEK ENERGY ARKOMA LLC,OK,ATOKA,01/03/2022,H,MILLIE 24/25-2H,DISPOSAL, ,WOODFORD,"18,200 ft",2021-12-25,35-005-20474,34.3758197 / -96.2141615,1500,2021-10-08,35.0,5.0,21.0,,,,,right_only
709,,,,,,,,Murfin 104,,,,,,,,,,,,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,01/03/2022,V,STACY #2,OIL,MOFFETT WEST,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-12-22,15-007-24398,37.453512 / -98.9702662,550,2021-12-01,15.0,7.0,23.0,,,,,right_only
710,,,,,,,,Nabors 890,,,,,,,,,,,,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,01/03/2022,H,LORENE 2-8-5XHM,OIL & GAS, ,"MISSISSIPPI SOLID, MISSISSIPPIAN (LESS CHESTER)","22,672 ft",2021-11-16,35-011-24281,35.6964314 / -98.5016564,1500,2021-11-01,35.0,11.0,32.0,,,,,right_only
711,,,,,,,,AKITA 524,,,,,,,,,,,,Permian - Midland,"CGS OPERATING, LLC",TX,BORDEN,01/03/2022,V,BROOKHAVEN 1,OIL,MESQUITE CREEK,MISS.,"9,900 ft",2021-12-24,42-033-32566,32.7379515 / -101.6191399,1500,2021-12-01,42.0,33.0,35.0,,,,,right_only
712,,,,,,,,Basin 103,,,,,,,,,,,,Haynesville,ENSIGHT IV ENERGY MANAGEM,LA,BOSSIER,01/03/2022,H,LCV RA SUL;ROY 7 H 001-ALT,GAS,SLIGO,LCV,"13,619 ft",2021-12-03,17-015-25198,32.4678879 / -93.5424191,2000,2021-09-16,17.0,15.0,40.0,,,,,right_only
713,,,,,,,,United Energy 2,,,,,,,,,,,,Anadarko,OKLAND OIL COMPANY,OK,CADDO,01/03/2022,D,RED ROCK 1-9,OIL & GAS, ,"COTTAGE GROVE, LAYTON, MARCHAND, TONKAWA, UPPER HOXBAR","10,012 ft",2021-12-11,35-015-23324,35.4447477 / -98.3674494,1000,2021-12-01,35.0,15.0,52.0,,,,,right_only
714,,,,,,,,Norton 2,,,,,,,,,,,,Permian - Delaware,RIDGEWAY ARIZONA OIL CORP.,NM,CHAVES,01/03/2022,H,STATE COM 403H,OIL,CHAVEROO,SAN ANDRES,"10,356 ft",2021-12-21,30-005-29225,33.6397261 / -103.5747476,1000,2021-11-02,30.0,5.0,73.0,,,,,right_only
715,,,,,,,,Fossil 3,,,,,,,,,,,,Anadarko,"PALOMINO PETROLEUM, INC.",KS,CLARK,01/03/2022,V,STONEWALL 1,OIL,UNNAMED,VIOLA,"6,400 ft",2021-12-20,15-025-21618,37.3008206 / -99.5503027,750,2021-12-07,15.0,25.0,77.0,,,,,right_only
716,,,,,,,,Norton 4,,,,,,,,,,,,Permian - Midland,"SILVER CREEK PERMIAN OP CO, LLC",TX,COCHRAN,01/03/2022,H,MORGAN 1H,OIL,COCHRAN,SAN ANDRES,"6,500 ft",2021-12-28,42-079-33425,33.0407702 / -102.8880357,650,2021-12-03,42.0,79.0,80.0,,,,,right_only
717,,,,,,,,Nabors B03,,,,,,,,,,,,Powder River,NORTHWOODS OPERATING LLC,WY,CONVERSE,01/03/2022,H,ASPEN 18E06-8NH,OIL,WC,NIOBRARA,"22,049 ft",2021-12-23,49-009-48356,43.359046 / -105.9001136,1500,2021-09-23,49.0,9.0,91.0,,,,,right_only
718,,,,,,,,Nabors X53,,,,,,,,,,,,Permian - Delaware,CHEVRON U. S. A. INC.,TX,CULBERSON,01/03/2022,H,HAY BLAKE 7/6 0043WD,OIL & GAS,"FORD, WEST",WOLFCAMP,"12,000 ft",2021-12-27,42-109-33778,31.9660787 / -104.1012459, ,2021-09-08,42.0,109.0,96.0,,,,,right_only
719,,,,,,,,Patterson 269,,,,,,,,,,,,Haynesville,"COMSTOCK OIL & GAS--LA, LLC",LA,DE SOTO,01/03/2022,H,HA RA SUW;OLYMPIA MIN 28-33 HC 002-ALT,GAS,SPIDER,HAYNESVILLE,"24,000 ft",2021-12-26,17-031-27045,32.0041547 / -93.8069707,1500,2021-08-27,17.0,31.0,108.0,,,,,right_only
