,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,_merge
718,,,,,,,,Discovery 2,,,,,,,,,,,,Sedgwick,PATTERSON ENERGY LLC,KS,BARTON,12/14/2021,V,BERNSTORF-JANKE 10,OIL,KRAFT-PRUSA,ARBUCKLE,"3,485 ft",2021-12-08,15-009-26320,38.6207537 / -98.5393432,475,2021-10-28,15.0,9.0,26.0,,right_only
719,,,,,,,,Patterson 596,,,,,,,,,,,,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,12/14/2021,H,RANDOLPH 3-34-27XHM,OIL & GAS, ,MISSISSIPPIAN,"20,009 ft",2021-11-12,35-011-24280,35.7260761 / -98.5775407,1500,2021-09-30,35.0,11.0,33.0,,right_only
720,,,,,,,,Pioneer 71,,,,,,,,,,,,Northeast,"EOG RESOURCES, INC",OH,CARROLL,12/14/2021,,ROSE 0801 1H,UNKNOWN, , , ,2021-11-26,34-019-22788,40.5909309 / -81.2328873,1500, ,34.0,19.0,66.0,,right_only
721,,,,,,,,HWH 2,,,,,,,,,,,,Anadarko,KODIAK OIL & GAS INC,OK,CARTER,12/14/2021,V,HHU 627,OIL & GAS, ,HOXBAR,"2,400 ft",2021-12-06,35-019-26462,34.1841488 / -97.3976987, ,2021-11-12,35.0,19.0,67.0,,right_only
722,,,,,,,,DALLAS-MORRIS 27,,,,,,,,,,,,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,12/14/2021,V,DH9 DH9,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,930 ft",2021-12-01,31-009-30145,42.0461152 / -78.5332386, ,2021-10-25,31.0,9.0,69.0,,right_only
723,,,,,,,,Capstar 334,,,,,,,,,,,,Powder River,BIG MUDDY OPERATING LLC,WY,CONVERSE,12/14/2021,D,SGBU 227 RDP 3,OIL,GLENROCK SOUTH,DAKOTA,"6,200 ft",2021-12-01,49-009-48569,42.8324405 / -105.8812867,750,2021-01-21,49.0,9.0,81.0,,right_only
724,,,,,,,,Sendero 19,,,,,,,,,,,,Permian - Delaware,APR OPERATING LLC,TX,CULBERSON,12/14/2021,V,ARMADILLO SWD 1,INJECTION,"MARSH, S.",DELAWARE,"6,250 ft",2021-12-08,42-109-33534,31.6061605 / -104.0731893,525,2021-11-03,42.0,109.0,91.0,,right_only
725,,,,,,,,United 52,,,,,,,,,,,,Permian - Delaware,CPB WATER LLC,TX,CULBERSON,12/14/2021,V,BRONN SWD 58-2 1,INJECTION,"FORD, WEST", ,"6,400 ft",2021-11-28,42-109-33794,31.9921667 / -104.0407778,700,2021-10-08,42.0,109.0,97.0,,right_only
726,,,,,,,,Basin 101,,,,,,,,,,,,Haynesville,GOODRICH PETROLEUM COMPA,LA,DE SOTO,12/14/2021,H,HA RA SU55;WURTSBAUGH 35 H 3-ALT,GAS,BETHANY LONGSTREET,HAYNESVILLE,"16,833 ft",2021-06-24,17-031-37019,32.1653341 / -93.9761025,1000,2021-08-13,17.0,31.0,112.0,,right_only
727,,,,,,,,Power Rig 6,,,,,,,,,,,,Anadarko,BLAKE PRODUCTION COMPANY INC,OK,DEWEY,12/14/2021,H,BIG CAT 1717 1-15-10-XHM,OIL & GAS, ,RED FORK,"17,038 ft",2021-11-18,35-043-23733,35.9419499 / -99.0048986,1200,2021-11-04,35.0,43.0,116.0,,right_only
728,,,,,,,,Independence 230,,,,,,,,,,,,Eagleford,"DALLAS PETROLEUM GROUP, LLC",TX,FAYETTE,12/14/2021,H,SAMPSON-MUELLER UNIT A 4H,OIL,GIDDINGS,AUSTIN CHALK-3,"10,800 ft",2021-11-13,42-149-33532,30.0952643 / -96.8088181, ,2021-11-05,42.0,149.0,182.0,,right_only
729,,,,,,,,Murfin 114,,,,,,,,,,,,Anadarko,"CARMEN SCHMITT, INC.",KS,FORD,12/14/2021,V,HEYEN TRUST 1-27,OIL, ,MISSISSIPPI,"5,500 ft",2021-11-30,15-057-21062,37.5870122 / -100.1563773,950,2021-11-05,15.0,57.0,191.0,,right_only
730,,,,,,,,Energy 10,,,,,,,,,,,,Gulf Coast,"RAVEN FOREST OPERATING, LLC",TX,GOLIAD,12/14/2021,V,WORLEY 8,GAS,BRANDT,PETTUS-CM CONS.,"5,000 ft",2021-11-22,42-175-34267,28.8570178 / -97.4619153,750,2021-11-03,42.0,175.0,216.0,,right_only
731,,,,,,,,VALARIS DS-18,,,,,,,,,,,,Offshore,CHEVRON U.S.A. INC.,GOM,GREEN CANYON,12/14/2021,U,G36654 001,UNKNOWN, , , ,2021-10-04,60-811-40752,27.1549289 / -90.4652957, ,2021-09-14,60.0,811.0,237.0,,right_only
732,,,,,,,,Basin 105,,,,,,,,,,,,Haynesville,"RFE OPERATING, LLC",TX,HARRISON,12/14/2021,H,RALPHIE EAST 1H,OIL & GAS,WOODLAWN,COTTON VALLEY,"9,685 ft",2021-10-31,42-203-35488,32.7316928 / -94.2507738,1500,2021-10-13,42.0,203.0,253.0,,right_only
733,,,,,,,,Latshaw 18,,,,,,,,,,,,Permian - Midland,"SURGE OPERATING, LLC",TX,HOWARD,12/14/2021,H,WALKER-DRRC 30-56 WEST UNIT 6AH,OIL & GAS,SPRABERRY,TREND AREA,"7,500 ft",2021-12-04,42-227-41334,32.4322843 / -101.3687184,1700,2021-10-14,42.0,227.0,283.0,,right_only
