,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,_merge
714,,,,,,,,Murfin 104,,,,,,,,,,,,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,12/20/2021,V,CROMER 3-1-4,OIL,UNNAMED,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-12-14,15-007-24387,37.4580514 / -98.9726314,550,2021-08-12,15.0,7.0,24.0,,,right_only
715,,,,,,,,Nabors CDR3,,,,,,,,,,,,North Slope,CONOCOPHILLIPS ALASKA INC,AK,BEECHEY POINT,12/20/2021,V,KUPARUK RIV UNIT 1G-17L1,OIL,KUPARUK RIVER,KUPARUK RIV OIL, ,2021-12-15,50-029-22945,70.3601832 / -149.6775969,650,2021-12-08,50.0,29.0,27.0,,,right_only
716,,,,,,,,Ensign 162,,,,,,,,,,,,Powder River,TRANSWORLD SYSTEMS PETROLEUM INC,WY,CONVERSE,12/20/2021,H,BU 22-30-35-67-1H,OIL,PINEY CREEK,TEAPOT,"16,939 ft",2021-12-04,49-009-38967,42.9832057 / -104.9508739,1500,2021-08-13,49.0,9.0,90.0,,,right_only
717,,,,,,,,CWC Ironhand 104,,,,,,,,,,,,Powder River,"MAXIMUS OPERATING, LTD",WY,CROOK,12/20/2021,V,SCHURICHT 21-10,OIL,MELLOTT RANCH,MINNELUSA,"7,150 ft",2021-12-06,49-011-23417,44.5109081 / -105.0145733,764,2021-11-10,49.0,11.0,95.0,,,right_only
718,,,,,,,,SWN Drilling 44,,,,,,,,,,,,Haynesville,"SWN PRODUCTION (LOUISIANA), LLC",LA,DE SOTO,12/20/2021,H,HA RA SU95;GRAY 32&29-14-16 HC 001,UNKNOWN,BETHANY LONGSTREET, ,"25,000 ft",2021-12-18,17-031-27079,32.1531659 / -94.0237916,1500,2021-12-16,17.0,31.0,117.0,,,right_only
719,,,,,,,,H&P 522,,,,,,,,,,,,Uintah,"OVINTIV PRODUCTION, INC.",UT,DUCHESNE,12/20/2021,H,ALICE 13-7 4-3-18-19-7H,OIL,NORTH MYTON BENCH,UTELAND BUTTE,"17,755 ft",2021-12-02,43-013-54179,40.1431338 / -110.2750754,1500,2021-10-19,43.0,13.0,134.0,,,right_only
720,,,,,,,,Frontier 16,,,,,,,,,,,,Uintah,"XCL ASSETCO, LLC",UT,DUCHESNE,12/20/2021,H,BAKE 54-2413-22G,OIL,BLUEBELL,WASATCH,"20,239 ft",2021-12-16,43-013-54126,40.2868652 / -110.0584924,2000,2021-05-27,43.0,13.0,136.0,,,right_only
721,,,,,,,,LASSO 102,,,,,,,,,,,,Barnett,"MORIAH OPERATING,LLC",TX,FISHER,12/20/2021,H,JENNA UNIT 2H,OIL & GAS,"GARDEN CITY, S.",WOLFCAMP,"7,000 ft",2021-12-17,42-151-33211,32.7620925 / -100.6204747, ,2021-10-25,42.0,151.0,195.0,,,right_only
722,,,,,,,,Capstar 311,,,,,,,,,,,,DJ Basin,"DARRAH OIL COMPANY, LLC",NE,GARDEN,12/20/2021,V,JACKSON 1-33,OIL,WILDCAT,SKULL CREEK,"3,500 ft",2021-12-10,26-069-21135,41.4046414 / -102.2845256,450,2021-10-19,26.0,69.0,202.0,,,right_only
723,,,,,,,,Patterson 292,,,,,,,,,,,,Northeast,EQT PRODUCTION COMPANY,PA,GREENE,12/20/2021,H,LUMBER 15H,GAS,MARCELLUS SHALE,MARCELLUS SHALE, ,2021-12-14,37-059-28089,39.743177 / -80.4385035,1500,2021-02-04,37.0,59.0,249.0,,,right_only
