County,State,Basin
UNION,AR,Haynesville
COLUSA,CA,West Coast
KERN,CA,West Coast
LOS ANGELES,CA,West Coast
ADAMS,CO,DJ Basin
ARAPAHOE,CO,DJ Basin
BROOMFIELD,CO,DJ Basin
GARFIELD,CO,Piceance
RIO BLANCO,CO,Piceance
WELD,CO,DJ Basin
BARBER,KS,Sedgwick
BARTON,KS,Sedgwick
BUTLER,KS,Sedgwick
DECATUR,KS,DJ Basin
ELLIS,KS,Sedgwick
GOVE,KS,DJ Basin
HAMILTON,KS,Anadarko
LOGAN,KS,Anadarko
MEADE,KS,Anadarko
NESS,KS,Anadarko
RAWLINS,KS,DJ Basin
RUSH,KS,Sedgwick
STAFFORD,KS,Sedgwick
THOMAS,KS,DJ Basin
TREGO,KS,Sedgwick
BEAUREGARD,LA,Gulf Coast
BIENVILLE,LA,Haynesville
BOSSIER,LA,Haynesville
CADDO,LA,Haynesville
CLAIBORNE,LA,Haynesville
DE SOTO,LA,Haynesville
NATCHITOCHES,LA,Haynesville
POINTE COUPEE,LA,Tuscaloosa
RAPIDES,LA,Tuscaloosa
RED RIVER,LA,Haynesville
SABINE,LA,Haynesville
VERMILION,LA,Gulf Coast
EUGENE IS. OFFSHORE,LA,Gulf Coast
SOUTH PASS OFFSHORE,LA,Gulf Coast
MAIN PASS OFFSHORE,LA,Gulf Coast
KALAMAZOO,MI,Michigan
AMITE,MS,Mississippi
JONES,MS,Mississippi
PERRY,MS,Mississippi
WILKINSON,MS,Mississippi
ROOSEVELT,MT,Bakken
DUNDY,NE,DJ Basin
HITCHCOCK,NE,DJ Basin
KIMBALL,NE,DJ Basin
WHITE PINE,NV,West Coast
EDDY,NM,Permian - Delaware
LEA,NM,Permian - Delaware
SAN JUAN,NM,San Juan
CATTARAUGUS,NY,Northeast
DIVIDE,ND,Bakken
DUNN,ND,Bakken
MCKENZIE,ND,Bakken
MOUNTRAIL,ND,Bakken
WILLIAMS,ND,Bakken
BELMONT,OH,Northeast
CARROLL,OH,Northeast
COLUMBIANA,OH,Northeast
HARRISON,OH,Northeast
JEFFERSON,OH,Northeast
NOBLE,OH,Northeast
BLAINE,OK,Anadarko
CADDO,OK,Anadarko
CANADIAN,OK,Anadarko
COAL,OK,Arkoma
CUSTER,OK,Anadarko
DEWEY,OK,Anadarko
ELLIS,OK,Anadarko
GARVIN,OK,Anadarko
GRADY,OK,Anadarko
KINGFISHER,OK,Anadarko
LINCOLN,OK,Arkoma
LOVE,OK,Anadarko
MCCLAIN,OK,Anadarko
MAJOR,OK,Anadarko
PITTSBURG,OK,Arkoma
PONTOTOC,OK,Arkoma
STEPHENS,OK,Anadarko
WOODWARD,OK,Anadarko
ARMSTRONG,PA,Northeast
BRADFORD,PA,Northeast
CAMERON,PA,Northeast
ELK,PA,Northeast
GREENE,PA,Northeast
LYCOMING,PA,Northeast
SULLIVAN,PA,Northeast
SUSQUEHANNA,PA,Northeast
TIOGA,PA,Northeast
WASHINGTON,PA,Northeast
ANDREWS,TX,Permian - Midland
ANGELINA,TX,Haynesville
