Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Anadarko,"AMERICAN WARRIOR, INC.",1.0,1.0,,,,1.0,3
Anadarko,BEREXCO LLC,1.0,1.0,,,,1.0,3
Anadarko,BLACK MESA ENERGY LLC,1.0,1.0,,,1.0,1.0,4
Anadarko,"BLACKBEARD OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Anadarko,BLAKE PRODUCTION COMPANY INC,,,1.0,1.0,,,2
Anadarko,"BLUE GOOSE DRILLING COMPANY, INC.",,1.0,,,,,1
Anadarko,BNK PETROLEUM (US) INC,1.0,1.0,,,,,2
Anadarko,BROOKS RANGE CORPORATION,,1.0,1.0,,,,2
Anadarko,CAMINO NATURAL RESOURCES LLC,3.0,3.0,3.0,3.0,3.0,3.0,18
Anadarko,"CARMEN SCHMITT, INC.",,,,1.0,,,1
Anadarko,CHAPARRAL ENERGY LLC,1.0,1.0,,,,1.0,3
Anadarko,CHEYENNE PETROLEUM COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Anadarko,CITIZEN ENERGY III LLC,4.0,4.0,4.0,4.0,4.0,4.0,24
Anadarko,COMANCHE EXPLORATION CO LLC,1.0,1.0,1.0,2.0,2.0,2.0,9
Anadarko,COMANCHE EXPLORATION COMPANY LLC,1.0,1.0,,,,,2
Anadarko,COMMAND ENERGY OPERATING LLC,,,1.0,,,,1
Anadarko,CONTINENTAL RESOURCES INC,9.0,8.0,9.0,9.0,8.0,9.0,52
Anadarko,"COURSON OIL & GAS, INC.",1.0,1.0,,,,,2
Anadarko,CPRP SERVICES LLC,1.0,1.0,1.0,,,,3
Anadarko,CRAWLEY PETROLEUM CORPORATION,1.0,1.0,1.0,1.0,1.0,1.0,6
Anadarko,"DDD EXPLORATION, INC.",,,1.0,,,,1
Anadarko,DEVON ENERGY PRODUCTION CO LP,2.0,3.0,2.0,2.0,2.0,2.0,13
Anadarko,EAGLE CREEK CORPORATION,1.0,,,,,1.0,2
Anadarko,"FORTAY, INC.",1.0,,,1.0,1.0,1.0,4
Anadarko,GULFPORT MIDCON LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Anadarko,"H & L EXPLORATION COMPANY, LLC",,1.0,,,,,1
Anadarko,HINKLE OIL & GAS INC,2.0,2.0,1.0,2.0,2.0,2.0,11
Anadarko,"JOE GERSTNER OIL, LLC",,,,1.0,1.0,,2
Anadarko,JONES L E OPERATING INC,1.0,,,,,,1
Anadarko,KIRKPATRICK OIL COMPANY INC,,,1.0,,,,1
Anadarko,KODIAK OIL & GAS INC,,1.0,,1.0,,,2
Anadarko,"LANDMARK RESOURCES, INC.",,1.0,,,,,1
Anadarko,MARATHON OIL COMPANY,3.0,2.0,3.0,3.0,3.0,3.0,17
Anadarko,MEWBOURNE OIL COMPANY,3.0,2.0,3.0,3.0,3.0,2.0,16
Anadarko,NATIVE EXPLORATION OPERATING LLC,,,,1.0,1.0,1.0,3
Anadarko,"NORSTAR PETROLEUM, INC.",,,,1.0,1.0,,2
Anadarko,"NORTHERN LIGHTS OIL COMPANY, LLC",,,,1.0,1.0,,2
Anadarko,O'BRIEN ENERGY RESOURCES CORP.,,,1.0,,,,1
Anadarko,OKLAND OIL COMPANY,1.0,,,,1.0,1.0,3
Anadarko,ORCA OPERATING COMPANY LLC,,,1.0,,,,1
Anadarko,OSO RESOURCES LLC,,1.0,,,,,1
Anadarko,OVINTIV MID-CONTINENT INC.,1.0,1.0,,,,,2
Anadarko,OVINTIV USA INC,1.0,1.0,2.0,2.0,2.0,2.0,10
Anadarko,"PALMER OIL, INC.",,,,1.0,1.0,,2
Anadarko,PALOMA OPERATING CO INC,,,1.0,1.0,,,2
Anadarko,"PALOMINO PETROLEUM, INC.",4.0,3.0,1.0,2.0,2.0,3.0,15
Anadarko,PANTERA ENERGY COMPANY,1.0,1.0,,1.0,1.0,1.0,5
Anadarko,"PEACHRIDGE ENERGY OPERATING, LLC",,,1.0,,,,1
Anadarko,"PICKRELL DRILLING COMPANY, INC.",1.0,,,,,1.0,2
Anadarko,R L & B ENERGY LLC,1.0,1.0,,,,,2
Anadarko,RED BLUFF RESOURCES OPERATING LLC,1.0,1.0,1.0,,1.0,1.0,5
Anadarko,"RITCHIE EXPLORATION, INC.",,,1.0,,,,1
Anadarko,ROX EXPLORATION INC,,1.0,,,,,1
Anadarko,SCOUT ENERGY MANAGEMENT LLC,,,1.0,1.0,1.0,1.0,4
Anadarko,STAGHORN PETROLEUM II LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Anadarko,"STELBAR OIL CORPORATION, INC.",1.0,1.0,,1.0,1.0,1.0,5
Anadarko,TAPSTONE ENERGY LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Anadarko,THOROUGHBRED ASSOCIATES L.L.C.,1.0,,,,,1.0,2
