Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
"ACOCK/ANAQUA OPERATING CO., LP",,,1.0,,,,1
"ADVANCE ENERGY PARTNERS HAT MESA, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
"ADVANCE ENERGY PARTNERS, LLC",1.0,1.0,2.0,2.0,2.0,2.0,10
ADVANTAGE RESOURCES INC,1.0,1.0,1.0,1.0,1.0,1.0,6
AETHON ENERGY OPERATING L,7.0,7.0,7.0,6.0,7.0,8.0,42
AETHON ENERGY OPERATING LLC,7.0,7.0,5.0,7.0,7.0,7.0,40
"AGERON IRONROC ENERGY, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
"ALLEGIANT RESOURCES, LLC",,,1.0,,,,1
"ALPINE GAS OPERATOR, LLC",,,1.0,1.0,,,2
"AMEREDEV OPERATING, LLC",5.0,5.0,4.0,4.0,4.0,4.0,26
"AMERICAN WARRIOR, INC.",1.0,1.0,,,,1.0,3
ANADARKO E & P ONSHORE LLC,,1.0,,1.0,,,2
ANADARKO E&P ONSHORE LLC,7.0,7.0,9.0,8.0,8.0,8.0,47
ANADARKO PETROLEUM CORPORATION,1.0,2.0,1.0,1.0,1.0,1.0,7
ANSCHUTZ EXPLORATION CORPORATION,,,3.0,2.0,1.0,,6
ANSCHUTZ OIL COMPANY LLC,3.0,3.0,,1.0,2.0,3.0,12
"ANSCHUTZ OIL COMPANY, LLC",1.0,,,,1.0,1.0,3
ANTERO RESOURCES  CORPORATION,,,1.0,1.0,,,2
ANTERO RESOURCES CORPORATION,4.0,4.0,3.0,3.0,4.0,4.0,22
APACHE CORPORATION,2.0,3.0,3.0,3.0,3.0,2.0,16
APR OPERATING LLC,,,,1.0,,1.0,2
"ARALUEN ENERGY, INC.",1.0,,,1.0,1.0,1.0,4
"ARCADIAN RESOURCES, LLC",,,1.0,,,,1
"ARD OPERATING, LLC",,,1.0,,,,1
"ARENA OFFSHORE, LP",2.0,2.0,1.0,2.0,2.0,2.0,11
ARSENAL RESOURCES LLC,,,1.0,1.0,1.0,1.0,4
ASCENT RESOURCES UTICA LLC,3.0,2.0,2.0,3.0,3.0,3.0,16
"ASCENT RESOURCES UTICA, LLC",,2.0,2.0,1.0,1.0,,6
"B&L RESOURCES, L.L.C.",,,,1.0,,,1
"B.O.L.D. OIL AND GAS, LLC",,1.0,1.0,,,,2
"BASIN OIL & GAS OPERATING, LLC",,,1.0,,,,1
BAYSWATER EXPLORATION & PRODUCTION LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
BAYSWATER OPERATING COMPANY LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
"BEDROCK PRODUCTION, LLC",1.0,1.0,,,,1.0,3
BEREXCO LLC,1.0,1.0,1.0,,,1.0,4
"BERRY PETROLEUM COMPANY, LLC",,1.0,3.0,,,,4
"BETSY PRODUCTION CO., INC.",,1.0,,,,,1
BHP BILLITON PETROLEUM (DEEPWATER) INC.,1.0,1.0,1.0,1.0,1.0,1.0,6
