,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,Mississippi,"GEOTERRE OPERATING, LLC",MS,ADAMS,01/03/2022,V,AYRES 5,D&D 3,OIL,LAGRANGE,WILCOX,"6,450 ft",2021-12-30,23-001-23557,31.5147906 / -91.2857782,450,2021-12-07,23,1,,,,
1,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,01/03/2022,H,SELTZER LD 09-371HN,Precision 462,OIL,WATTENBERG,NIOBRARA,"17,588 ft",2021-12-25,05-001-10195,39.99899 / -104.892672,1200,2018-09-19,5,1,,,,
2,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,01/03/2022,H,GUS LD 15-032HC,Precision 460,OIL,WATTENBERG,CODELL,"16,625 ft",2021-12-27,05-001-10508,39.9530256 / -104.8860015,1200,2020-06-11,5,1,,,,
3,Offshore,SHELL OFFSHORE INC.,GOM,ALAMINOS CANYON,01/03/2022,D,GA021  ,H&P 205,OIL & GAS,GREAT WHITE, , ,2021-10-21,60-805-40058,26.1290783 / -94.8983475,2000,2021-10-21,60,805,,,,
4,Permian - Midland,"CML EXPLORATION, LLC",TX,ANDREWS,01/03/2022,V,TOM PEAY 1,Norton 6,OIL,NOLLEY,"CANYON, DEVONIAN, ELLEN., PENN","14,500 ft",2021-12-28,42-003-48487,32.5151681 / -102.52337,650,2021-12-01,42,3,,,,
5,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/03/2022,H,MABEE DDA F21 4104LH,NorAm 21,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-14,42-003-48367,32.2271207 / -102.2687723,1500,2021-04-26,42,3,,,,
6,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/03/2022,H,MABEE DDA F27 4208LH,Nabors X46,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-21,42-003-48373,32.2240929 / -102.2722541,1500,2021-04-27,42,3,,,,
7,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/03/2022,H,MABEE DDA F29 4109MH,Ensign T124,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-28,42-003-48374,32.2257795 / -102.2761057,1500,2021-04-27,42,3,,,,
8,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/03/2022,H,MABEE DDA F20 4103AH,Latshaw 44,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-20,42-003-48398,32.2276287 / -102.2668077,1500,2021-06-22,42,3,,,,
9,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,01/03/2022,H,FEE 'BM' 1503WB,H&P 426,OIL & GAS,SPRABERRY,TREND AREA,"10,100 ft",2021-12-27,42-003-48419,32.1565962 / -102.2609782,1500,2021-07-12,42,3,,,,
10,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,01/03/2022,V,FEE 'CA' SWD 1,Sendero 16,INJECTION,MAGUTEX,DEVONIAN,"16,000 ft",2021-12-21,42-003-48479,31.8247988 / -102.3951034,1000,2021-11-08,42,3,,,,
11,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,01/03/2022,H,FEE 'BM' 1614WD,H&P 659,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-12-21,42-003-48450,32.1542924 / -102.2526343,1500,2021-08-13,42,3,,,,
12,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,01/03/2022,H,UNIVERSITY 8-4B S H 2MS,Ensign T54,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2021-12-27,42-003-48461,32.4012888 / -102.3387194,1500,2021-09-23,42,3,,,,
13,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,01/03/2022,H,UNIVERSITY 7-43 3H,H&P 601,OIL & GAS,SPRABERRY,TREND AREA,"10,994 ft",2021-12-27,42-003-48355,32.35091 / -102.2582249,1500,2021-03-09,42,3,,,,
14,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,01/03/2022,H,UNIVERSITY 7-43 6H,H&P 645,OIL & GAS,SPRABERRY,TREND AREA,"11,095 ft",2021-12-27,42-003-48471,32.3523153 / -102.2593756,1500,2021-09-23,42,3,,,,
15,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/03/2022,H,GASOSAURUS GAS UNIT 3HB,Scan Legacy,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-11-25,42-005-30467,31.3863017 / -94.6273022,2000,2021-10-21,42,5,,,,
16,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/03/2022,H,DENALI GAS UNIT 2HB,Precision 584,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-10-26,42-005-30461,31.286203 / -94.5010671,1500,2021-02-22,42,5,,,,
17,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/03/2022,H,TITAN GAS UNIT 3HB,AKITA 90,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,200 ft",2021-12-25,42-005-30465,31.8237942 / -102.3953934,3000,2021-10-18,42,5,,,,
18,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/03/2022,H,RAINIER GAS UNIT 4H,Precision 579,GAS,CARTHAGE,HAYNESVILLE SHALE,"17,200 ft",2021-12-15,42-005-30463,31.3146953 / -94.5570527,1500,2021-04-21,42,5,,,,
19,Northeast,SNYDER BROS INC,PA,ARMSTRONG,01/03/2022,H,MUDLICK 5H,Precision 539,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"21,138 ft",2021-12-29,37-005-31367,40.9531529 / -79.2926805,1200,2021-06-10,37,5,,,,
20,Eagleford,MARATHON OIL EF LLC,TX,ATASCOSA,01/03/2022,H,GUAJILLO UNIT 15 SOUTH 5H,Nabors X39,OIL,EAGLEVILLE,EAGLE FORD-2,"22,000 ft",2021-12-29,42-013-35772,28.6717987 / -98.3111431,1500,2021-11-23,42,13,,,,
21,Arkoma,CANYON CREEK ENERGY ARKOMA LLC,OK,ATOKA,01/03/2022,H,MILLIE 24/25-2H,Cactus 154,DISPOSAL, ,WOODFORD,"18,200 ft",2021-12-25,35-005-20474,34.3758197 / -96.2141615,1500,2021-10-08,35,5,,,,
22,Austin Chalk,VERDUN OIL & GAS LLC,TX,AUSTIN,01/03/2022,H,GALLIPOLI 1H,Nabors 1204,GAS,GIDDINGS,"AUSTIN CHALK, GAS","15,000 ft",2021-12-21,42-015-31074,30.0262923 / -96.5890523, ,2021-10-13,42,15,,,,
23,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,01/03/2022,V,STACY #2,Murfin 104,OIL,MOFFETT WEST,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-12-22,15-007-24398,37.453512 / -98.9702662,550,2021-12-01,15,7,,,,
24,Sedgwick,PATTERSON ENERGY LLC,KS,BARTON,01/03/2022,V,MORGENSTERN 2-12,Murfin 20,OIL,TRAPP,ARBUCKLE,"3,450 ft",2021-12-27,15-009-26322,38.6707205 / -98.825453,550,2021-11-10,15,9,,,,
25,Gulf Coast,DUNN EXPLORATION COMPANY,LA,BEAUREGARD,01/03/2022,V,CF-WX RA SUB;BP AMERICA 003,D&D 11,OIL,BRUSHY CREEK,CF-WX,"9,999 ft",2021-12-22,17-011-21284,30.5981607 / -93.631558,1000,2021-11-30,17,11,,,,
26,Northeast,"GULFPORT APPALACHIA, LLC",OH,BELMONT,01/03/2022,,CHARLOTTE 210115 3A,Patterson 296,UNKNOWN, , , ,2021-12-17,34-013-21500,39.9339409 / -80.9231491,1500, ,34,13,,,,
27,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/03/2022,H,HA RA SUT;J SALTER 19-18 HC 001-ALT,Precision 609,GAS,WOODARDVILLE,HAYNESVILLE,"18,476 ft",2021-11-06,17-013-22251,32.2809 / -93.3326829,1500,2021-09-28,17,13,,,,
28,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/03/2022,H,HA RA SUFF;GEP 13-24-25 HC 001-ALT,Precision 556,GAS,WOODARDVILLE,HAYNESVILLE SHALE,"22,990 ft",2021-12-15,17-013-22243,32.2954528 / -93.3443027,1800,2021-08-11,17,13,,,,
29,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/03/2022,H,HA RA SUJJ;WEYERHAEUSER22-27HC 002-ALT,Precision 559,GAS,LAKE BISTINEAU,HAYNESVILLE,"21,597 ft",2021-12-30,17-013-22257,32.368598 / -93.274591,1800,2021-12-02,17,13,,,,
