,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1
0,DJ Basin,CRESTONE PEAK RESOURCES OPERATING LLC,CO,ADAMS,01/12/2022,H,CROW 3-64 29-30-25 3BH,Patterson 345,OIL,WILDCAT,NIOBRARA,"23,499 ft",2022-01-09,05-001-10405,39.757844 / -104.565832,1500,2021-11-15,5,1,,,,,
1,Mississippi,"GEOTERRE OPERATING, LLC",MS,ADAMS,01/12/2022,V,AYRES 5,D&D 3,OIL,LAGRANGE,WILCOX,"6,450 ft",2021-12-31,23-001-23557,31.5147906 / -91.2857782,450,2021-12-07,23,1,,,,,
2,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,01/12/2022,H,GUS LD 15-035HN,Precision 462,OIL,WATTENBERG,NIOBRARA,"16,708 ft",2022-01-10,05-001-10518,39.95302 / -104.885412,1200,2020-06-11,5,1,,,,,
3,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,01/12/2022,H,GUS LD 15-031HNX,Precision 460,OIL,WATTENBERG,NIOBRARA,"16,135 ft",2022-01-09,05-001-10509,39.9529993 / -104.8859915,1200,2020-06-11,5,1,,,,,
4,Offshore,SHELL OFFSHORE INC.,GOM,ALAMINOS CANYON,01/12/2022,D,GA021  ,H&P 205,OIL & GAS,GREAT WHITE, , ,2021-10-21,60-805-40058,26.1290783 / -94.8983475,2000,2021-10-21,60,805,,,,,
5,Permian - Midland,"CML EXPLORATION, LLC",TX,ANDREWS,01/12/2022,V,TOM PEAY 1,Norton 6,OIL,NOLLEY,"CANYON, DEVONIAN, ELLEN., PENN","14,500 ft",2022-01-03,42-003-48487,32.5151672 / -102.5233719,650,2021-12-01,42,3,,,,,
6,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/12/2022,H,MABEE DDA F26 4207MH,Nabors X46,OIL,SPRABERRY,TREND AREA,"12,000 ft",2022-01-09,42-003-48372,32.224122 / -102.2721291,1500,2021-04-27,42,3,,,,,
7,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/12/2022,H,MABEE DDA F29 4109MH,Ensign T124,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-28,42-003-48374,32.2257888 / -102.2761576,1500,2021-04-27,42,3,,,,,
8,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,01/12/2022,H,MABEE DDA F19 4103MH,Latshaw 44,OIL,SPRABERRY,TREND AREA,"12,000 ft",2022-01-07,42-003-48366,32.2276579 / -102.266683,1500,2021-04-26,42,3,,,,,
9,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,01/12/2022,H,FEE 'CF' 1504WB,H&P 426,OIL & GAS,SPRABERRY,TREND AREA,"10,250 ft",2022-01-04,42-003-47788,32.1565764 / -102.2609695,1500,2018-04-02,42,3,,,,,
