,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id
0,DJ Basin,CRESTONE PEAK RESOURCES OPERATING LLC,CO,ADAMS,11/22/2021,H,CROW 3-64 29-30-25 3BH,Ensign 122,OIL,WILDCAT,NIOBRARA,"23,499 ft",2021-11-17,05-001-10405,39.7576386 / -104.5659077,630,2021-11-15,5,1
1,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,11/22/2021,H,SELTZER LD 21-037HN,Precision 462,OIL,WATTENBERG,NIOBRARA,"23,925 ft",2021-11-09,05-001-09959,39.99936 / -104.892421,1200,2018-09-25,5,1
2,Offshore,SHELL OFFSHORE INC.,GOM,ALAMINOS CANYON,11/22/2021,U,G36102 001,TO Deepwater Poseidon,UNKNOWN, , , ,2021-09-27,60-805-40097,26.6515176 / -94.5334049, ,2021-09-13,60,805
3,Offshore,SHELL OFFSHORE INC.,GOM,ALAMINOS CANYON,11/22/2021,D,GA021  ,H&P 205,OIL & GAS,GREAT WHITE, , ,2021-10-21,60-805-40058,26.1290783 / -94.8983475,2000,2021-10-21,60,805
4,Mississippi,"STATE LINE EXPLORATION, LLC",MS,AMITE,11/22/2021,V,REESE 11 1H,RAPAD 41,OIL,PEARL RIVER,PEARL RIVER,"12,500 ft",2021-11-14,23-005-21210,31.0656548 / -91.0477175,2000,2021-10-21,23,5
5,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,11/22/2021,H,MABEE DDA F21 4104LH,NorAm 21,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-11-15,42-003-48367,32.2270382 / -102.2691108,1500,2021-04-26,42,3
6,Permian - Midland,DIAMONDBACK E&P LLC,TX,ANDREWS,11/22/2021,H,UL CUCKOO BEE 5-19 J 4LS,AKITA 803,OIL,SPRABERRY,TREND AREA,"10,050 ft",2021-11-17,42-003-48402,32.4235019 / -102.2492104,1800,2021-07-02,42,3
7,Permian - Midland,DIAMONDBACK E&P LLC,TX,ANDREWS,11/22/2021,H,UL CARNIOLAN 7-49 J 4MS,Independence 306,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-11-10,42-003-48406,32.4052606 / -102.2756676,1500,2021-07-02,42,3
8,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,11/22/2021,V,FEE 'AR' SWD 3,Sendero 16,INJECTION,SPRABERRY,TREND AREA,"15,200 ft",2021-11-19,42-003-48475,32.3659694 / -102.3176909,1000,2021-10-08,42,3
9,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,11/22/2021,H,FEE 'BM' 1611WA,H&P 659,OIL & GAS,SPRABERRY,TREND AREA,"10,100 ft",2021-11-16,42-003-48416,32.1270218 / -102.2458726,1500,2021-07-12,42,3
10,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,11/22/2021,H,UNIVERSITY 5-39 WEST B MS 9H,LASSO 103,OIL & GAS,SPRABERRY,TREND AREA,"9,300 ft",2021-11-08,42-003-48387,32.425225 / -102.3374282,1500,2021-04-26,42,3
11,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,11/22/2021,H,UNIVERSITY 8-4D S H 4LS,Burton 10,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2021-11-10,42-003-48463,32.4013 / -102.3385, ,2021-09-15,42,3
12,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,11/22/2021,H,UNIVERSITY 8-9 LS 6H,LASSO 102,OIL & GAS,SPRABERRY,TREND AREA,"9,600 ft",2021-11-18,42-003-48428,32.3937145 / -102.35018, ,2021-08-04,42,3
13,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,11/22/2021,H,GASOSAURUS GAS UNIT 2H,Scan Legacy,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-11-04,42-005-30466,31.3862497 / -94.6273202,2000,2021-10-21,42,5
14,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,11/22/2021,H,DENALI GAS UNIT 2HB,Precision 584,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-10-26,42-005-30461,31.2861868 / -94.5010668,1500,2021-02-22,42,5
