,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0
0,DJ Basin,CRESTONE PEAK RESOURCES OPERATING LLC,CO,ADAMS,12/14/2021,H,FRASER 3-64 33-32 4AH,Ensign 122,OIL,DJ HORIZONTAL NIOBRARA,NIOBRARA,"17,797 ft",2021-12-09,05-001-10186,40.3578901 / -104.7076606,630,2021-09-28,5,1,
1,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,12/14/2021,H,SELTZER LD 21-039HN,Precision 462,OIL,WATTENBERG,NIOBRARA,"23,907 ft",2021-11-27,05-001-09956,39.999484 / -104.892421,1200,2018-09-25,5,1,
2,Offshore,SHELL OFFSHORE INC.,GOM,ALAMINOS CANYON,12/14/2021,D,GA021  ,H&P 205,OIL & GAS,GREAT WHITE, , ,2021-10-21,60-805-40058,26.1290783 / -94.8983475,2000,2021-10-21,60,805,
3,Mississippi,"STATE LINE EXPLORATION, LLC",MS,AMITE,12/14/2021,V,REESE 11 1H,RAPAD 41,OIL,PEARL RIVER,PEARL RIVER,"12,500 ft",2021-11-14,23-005-21210,31.0656855 / -91.047703,2000,2021-10-21,23,5,
4,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/14/2021,H,MABEE DDA F22 4105BH,NorAm 21,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-06,42-003-48368,32.2270815 / -102.2689489,1500,2021-04-26,42,3,
5,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/14/2021,H,MABEE DDA F28 4209AH,Nabors X46,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-01,42-003-48399,32.2240641 / -102.272379,1500,2021-06-22,42,3,
6,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/14/2021,H,MABEE DDA F32 4112LH,Ensign T124,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-03,42-003-48377,32.2257127 / -102.2764607,1500,2021-04-27,42,3,
7,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/14/2021,H,MABEE DDA F17 4102BH,Latshaw 44,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-01,42-003-48364,32.2277149 / -102.266433,1500,2021-04-26,42,3,
8,Permian - Midland,DIAMONDBACK E&P LLC,TX,ANDREWS,12/14/2021,H,UL CARNIOLAN 7-49 I 3MS,Independence 306,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-02,42-003-48404,32.4052105 / -102.2758507,1500,2021-07-02,42,3,
9,Permian - Midland,ELEVATION RESOURCES LLC,TX,ANDREWS,12/14/2021,H,UL G 9-43 C 3H,Pinnergy 1,OIL & GAS,EMMA,BARNETT SHALE,"15,000 ft",2021-12-08,42-003-48477,32.1070947 / -102.6018109,760,2021-11-10,42,3,
10,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,12/14/2021,V,FEE 'AR' SWD 3,Sendero 16,INJECTION,SPRABERRY,TREND AREA,"15,200 ft",2021-11-20,42-003-48475,32.3659594 / -102.3176914,1000,2021-10-08,42,3,
11,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,12/14/2021,H,FEE 'BM' 1610JM,H&P 659,OIL & GAS,SPRABERRY,TREND AREA,"9,500 ft",2021-12-02,42-003-48415,32.1270172 / -102.2458758,1500,2021-07-13,42,3,
12,Permian - Midland,"ICA ENERGY OPERATING, L.L.C.",TX,ANDREWS,12/14/2021,H,DEEP ROCK C 1H,Norton 7,OIL,SHAFTER LAKE,SAN ANDRES,"4,500 ft",2021-12-01,42-003-48476,32.2996029 / -102.6755064,900,2021-11-02,42,3,
13,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,12/14/2021,H,UNIVERSITY 5-39 WEST A MS 8H,LASSO 103,OIL & GAS,SPRABERRY,TREND AREA,"9,300 ft",2021-11-18,42-003-48386,32.4252384 / -102.3374029,1500,2021-04-26,42,3,
14,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,12/14/2021,H,UNIVERSITY 8-9 WC 9H,LASSO 102,OIL & GAS,SPRABERRY,TREND AREA,"10,200 ft",2021-12-01,42-003-48429,32.3937196 / -102.3501586, ,2021-08-04,42,3,
15,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,12/14/2021,H,UNIVERSITY 8-4F S H 6LS,Ensign T54,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2021-12-13,42-003-48465,32.4013746 / -102.3384404,1500,2021-09-15,42,3,
16,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,12/14/2021,H,UNIVERSITY 7-43 1H,H&P 601,OIL & GAS,SPRABERRY,TREND AREA,"10,994 ft",2021-11-26,42-003-48353,32.3509081 / -102.2582267,1500,2021-03-09,42,3,
17,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,12/14/2021,H,UNIVERSITY 7-43 5H,H&P 645,OIL & GAS,SPRABERRY,TREND AREA,"11,095 ft",2021-12-07,42-003-48470,32.3523088 / -102.2593758,1500,2021-09-23,42,3,
18,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/14/2021,H,GASOSAURUS GAS UNIT 3HB,Scan Legacy,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-11-25,42-005-30467,31.3863017 / -94.6273022,2000,2021-10-21,42,5,
19,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/14/2021,H,DENALI GAS UNIT 2HB,Precision 584,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-10-26,42-005-30461,31.2861982 / -94.501067,1500,2021-02-22,42,5,
20,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/14/2021,H,TITAN GAS UNIT 1H,AKITA 90,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,200 ft",2021-12-06,42-005-30464,31.8237929 / -102.3953892,3000,2021-10-18,42,5,
21,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/14/2021,H,RAINIER GAS UNIT 3H,Precision 579,GAS,CARTHAGE,HAYNESVILLE SHALE,"17,200 ft",2021-07-26,42-005-30462,31.3147543 / -94.5570933,1500,2021-04-21,42,5,
22,Northeast,SNYDER BROS INC,PA,ARMSTRONG,12/14/2021,H,CLEPPER 4H,Precision 539,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"13,946 ft",2021-12-06,37-005-31394,40.7407747 / -79.6204233,1200,2021-05-06,37,5,
23,Eagleford,"EOG RESOURCES, INC.",TX,ATASCOSA,12/14/2021,H,WILDEBEEST F 6H,H&P 263,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"11,500 ft",2021-12-07,42-013-35867,28.8538347 / -98.2080746,1500,2021-08-13,42,13,
24,Arkoma,CANYON CREEK ENERGY ARKOMA LLC,OK,ATOKA,12/14/2021,H,MILLIE 24/25-1H,Cactus 154,OIL & GAS, ,WOODFORD,"18,200 ft",2021-12-06,35-005-20473,34.3756099 / -96.2139021,1500,2021-10-07,35,5,
25,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,12/14/2021,V,HARPER #2,Murfin 104,OIL,UNNAMED,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-12-07,15-007-24385,37.4667603 / -98.9670159,550,2021-11-29,15,7,
26,Sedgwick,PATTERSON ENERGY LLC,KS,BARTON,12/14/2021,V,BERNSTORF-JANKE 10,Discovery 2,OIL,KRAFT-PRUSA,ARBUCKLE,"3,485 ft",2021-12-08,15-009-26320,38.6207537 / -98.5393432,475,2021-10-28,15,9,
27,Northeast,"GULFPORT APPALACHIA, LLC",OH,BELMONT,12/14/2021,,CHARLOTTE 210115 2B,Patterson 296,UNKNOWN, , , ,2021-12-02,34-013-21501,39.9339218 / -80.9231033,1500, ,34,13,
28,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,12/14/2021,H,HA RA SUT;J SALTER 19-18 HC 001-ALT,Precision 609,GAS,WOODARDVILLE,HAYNESVILLE,"18,476 ft",2021-11-06,17-013-22251,32.2809 / -93.3326829,1500,2021-09-28,17,13,
29,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,12/14/2021,H,HA RA SUFF;GEP 13-24-25 HC 002-ALT,Precision 556,GAS,WOODARDVILLE,HAYNESVILLE SHALE,"23,070 ft",2021-11-10,17-013-22244,32.2954032 / -93.3443027,1800,2021-08-11,17,13,
30,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,12/14/2021,H,HA RA SU76;LEE 24-13 HC 001-ALT,Precision 614,GAS,WOODARDVILLE,HAYNESVILLE,"22,800 ft",2021-12-02,17-013-22248,32.2635968 / -93.3496893,1500,2021-09-10,17,13,
31,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,12/14/2021,H,TRES C FIU 2-35-2XHM,Patterson 293,OIL & GAS, ,MISSISSIPPIAN,"22,139 ft",2021-11-11,35-011-24278,35.7389808 / -98.5504938,1500,2021-09-30,35,11,
