,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1
0,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,12/20/2021,H,SELTZER LD 09-375HNX,Precision 462,OIL,WATTENBERG,NIOBRARA,"17,755 ft",2021-12-11,05-001-10192,39.999237 / -104.892672,1200,2018-09-19,5,1,,
1,DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,CO,ADAMS,12/20/2021,H,GUS LD 15-023HN,Precision 460,OIL,WATTENBERG,NIOBRARA,"15,946 ft",2021-12-18,05-001-10510,39.9530303 / -104.8860098,1200,2020-06-11,5,1,,
2,Offshore,SHELL OFFSHORE INC.,GOM,ALAMINOS CANYON,12/20/2021,D,GA021  ,H&P 205,OIL & GAS,GREAT WHITE, , ,2021-10-21,60-805-40058,26.1290783 / -94.8983475,2000,2021-10-21,60,805,,
3,Mississippi,"STATE LINE EXPLORATION, LLC",MS,AMITE,12/20/2021,V,REESE 11 1H,RAPAD 41,OIL,PEARL RIVER,PEARL RIVER,"12,500 ft",2021-11-14,23-005-21210,31.065677 / -91.0477226,2000,2021-10-21,23,5,,
4,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/20/2021,H,MABEE DDA F21 4104LH,NorAm 21,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-14,42-003-48367,32.2270975 / -102.2689137,1500,2021-04-26,42,3,,
5,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/20/2021,H,MABEE DDA F28 4209AH,Nabors X46,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-01,42-003-48399,32.2240641 / -102.272379,1500,2021-06-22,42,3,,
6,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/20/2021,H,MABEE DDA F31 4111MH,Ensign T124,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-14,42-003-48376,32.2257383 / -102.2763633,1500,2021-04-27,42,3,,
7,Permian - Midland,COG OPERATING LLC,TX,ANDREWS,12/20/2021,H,MABEE DDA F18 4103LH,Latshaw 44,OIL,SPRABERRY,TREND AREA,"12,000 ft",2021-12-08,42-003-48365,32.2276859 / -102.266558,1500,2021-04-26,42,3,,
8,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,12/20/2021,H,FEE 'BM' 1501SS,H&P 426,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-003-48417,32.1563956 / -102.260916,1500,2021-07-12,42,3,,
9,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,12/20/2021,V,FEE 'AR' SWD 3,Sendero 16,INJECTION,SPRABERRY,TREND AREA,"15,200 ft",2021-11-20,42-003-48475,32.3666239 / -102.3173261,1000,2021-10-08,42,3,,
10,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,12/20/2021,H,FEE 'BM' 1609MS,H&P 659,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-14,42-003-48414,32.127016 / -102.245875,1500,2021-07-12,42,3,,
11,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,12/20/2021,H,UNIVERSITY 5-39 WEST MS 7H,LASSO 103,OIL & GAS,SPRABERRY,TREND AREA,"9,300 ft",2021-12-11,42-003-48385,32.4252434 / -102.3373902,1500,2021-04-26,42,3,,
12,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,12/20/2021,H,UNIVERSITY 8-4A S H 1MS,Ensign T54,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2021-12-15,42-003-48460,32.4013574 / -102.3384955,1500,2021-09-09,42,3,,
13,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,12/20/2021,H,UNIVERSITY 7-43 2H,H&P 601,OIL & GAS,SPRABERRY,TREND AREA,"10,994 ft",2021-12-14,42-003-48354,32.350909 / -102.2582262,1500,2021-03-09,42,3,,
14,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,12/20/2021,H,UNIVERSITY 7-43 5H,H&P 645,OIL & GAS,SPRABERRY,TREND AREA,"11,095 ft",2021-12-07,42-003-48470,32.3523093 / -102.2593791,1500,2021-09-23,42,3,,
15,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/20/2021,H,GASOSAURUS GAS UNIT 3HB,Scan Legacy,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-11-25,42-005-30467,31.3863017 / -94.6273022,2000,2021-10-21,42,5,,
16,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/20/2021,H,DENALI GAS UNIT 2HB,Precision 584,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-10-26,42-005-30461,31.2861996 / -94.501067,1500,2021-02-22,42,5,,
17,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/20/2021,H,TITAN GAS UNIT 1H,AKITA 90,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,200 ft",2021-12-06,42-005-30464,31.8237902 / -102.3953933,3000,2021-10-18,42,5,,
